"corporate_id","tech_record_id","tech_source_system","tech_company","tech_company_name_normalised","tech_industry_std","tech_country_std","tech_market_cap_usd","tech_estimated_revenue","tech_processing_ts","reg_record_id","reg_source_system","reg_company","reg_company_name_normalised","reg_domain","reg_industry_std","reg_country_std","reg_year_founded","reg_current_employee_estimate","reg_total_employee_estimate","reg_processing_ts","processing_ts"
"bd83dd8e967f5882a878133cf6e064e58c8c43be6e201c3aa32b2c54a94ec428","bd83dd8e967f5882a878133cf6e064e58c8c43be6e201c3aa32b2c54a94ec428","tech_companies","sansan, inc.","sansan","software—application","N/A","1.31E9","1.6375E8","2026-01-20 22:37:43.301629 UTC",,,,,,,,,,,,"2026-01-23 17:52:17.376188 UTC"
"0f49f63b983c7b61b544566cd823eba18acf8a2f9eba15fd90684b4263e93562","0f49f63b983c7b61b544566cd823eba18acf8a2f9eba15fd90684b4263e93562","tech_companies","coupa software incorporated","coupa software","software—application","N/A","6.03E9","7.5375E8","2026-01-20 22:37:43.301629 UTC","8c3c06285f77388c516705d15c217b8de7c9313fbe6fb88a5ccf9426556ecb25","company_registry","coupa software","coupa software","coupa.com","software—application","N/A","2006.0","538","891","2026-01-20 22:42:22.240243 UTC","2026-01-23 17:52:17.376188 UTC"
"47987a262e36184c15e320fede5955d0a0755b63e581bd650bdbde3aa67fc675","47987a262e36184c15e320fede5955d0a0755b63e581bd650bdbde3aa67fc675","tech_companies","bizlink holding, inc.","bizlink","computer hardware","N/A","1.36E9","1.7E8","2026-01-20 22:37:43.301629 UTC","95f985c9b15920a0968b4b1cdd81aa750240a14c4eb387b6d4a972d56d138e09","company_registry","bizlink","bizlink","bizlinkpros.com","N/A","N/A",,"17","25","2026-01-20 22:42:22.240243 UTC","2026-01-23 17:52:17.376188 UTC"
"47987a262e36184c15e320fede5955d0a0755b63e581bd650bdbde3aa67fc675","47987a262e36184c15e320fede5955d0a0755b63e581bd650bdbde3aa67fc675","tech_companies","bizlink holding, inc.","bizlink","computer hardware","N/A","1.36E9","1.7E8","2026-01-20 22:37:43.301629 UTC","ee296c8e94f50013632508ae733efc0a6a28d3b320da4452ead2939c28c4346e","company_registry","bizlink incorporated","bizlink",,"N/A","N/A",,"1","1","2026-01-20 22:42:22.240243 UTC","2026-01-23 17:52:17.376188 UTC"
"47987a262e36184c15e320fede5955d0a0755b63e581bd650bdbde3aa67fc675","47987a262e36184c15e320fede5955d0a0755b63e581bd650bdbde3aa67fc675","tech_companies","bizlink holding, inc.","bizlink","computer hardware","N/A","1.36E9","1.7E8","2026-01-20 22:37:43.301629 UTC","6d87e107532e9e7d91571f1fcb06de287203ad7b2ea6c3c309127ba58eea024f","company_registry","bizlink, inc.","bizlink","bizlinkcolorado.com","N/A","N/A","2014.0","1","2","2026-01-20 22:42:22.240243 UTC","2026-01-23 17:52:17.376188 UTC"
"bbc75e66c34084b76ba9f62d89655719d907023448a6f0a09d99f74b4bbb511a","bbc75e66c34084b76ba9f62d89655719d907023448a6f0a09d99f74b4bbb511a","tech_companies","life360, inc.","life360","software—application","N/A","9.602E8","1.20025E8","2026-01-20 22:37:43.301629 UTC",,,,,,,,,,,,"2026-01-23 17:52:17.376188 UTC"
"11e89cffa591e4886b3e3efd45d35ada6ccf485c9a34d516ebede4fa2dc9d606","11e89cffa591e4886b3e3efd45d35ada6ccf485c9a34d516ebede4fa2dc9d606","tech_companies","vertex, inc.","vertex","software—application","N/A","3.96E9","4.95E8","2026-01-20 22:37:43.301629 UTC","8edc52d708090af267edeae21e9d41e9553f29aadb2d43a0f1d470ab9dd5bd0d","company_registry","vertex","vertex","l10n.com.br","N/A","N/A","2007.0","52","85","2026-01-20 22:42:22.240243 UTC","2026-01-23 17:52:17.376188 UTC"
"11e89cffa591e4886b3e3efd45d35ada6ccf485c9a34d516ebede4fa2dc9d606","11e89cffa591e4886b3e3efd45d35ada6ccf485c9a34d516ebede4fa2dc9d606","tech_companies","vertex, inc.","vertex","software—application","N/A","3.96E9","4.95E8","2026-01-20 22:37:43.301629 UTC","88ee26a5db9b55d58518751a54c43614f98dede37eed6d53c5eb4a71df3c9529","company_registry","vertex group","vertex","vertexg.com","information technology services","N/A","1997.0","86","165","2026-01-20 22:42:22.240243 UTC","2026-01-23 17:52:17.376188 UTC"
"11e89cffa591e4886b3e3efd45d35ada6ccf485c9a34d516ebede4fa2dc9d606","11e89cffa591e4886b3e3efd45d35ada6ccf485c9a34d516ebede4fa2dc9d606","tech_companies","vertex, inc.","vertex","software—application","N/A","3.96E9","4.95E8","2026-01-20 22:37:43.301629 UTC","fc4612cbd1f3660c516b4d7c459b02e7e85b7266e962e7eb4778928e98a6b82e","company_registry","vertex","vertex",,"N/A","N/A",,"0","1","2026-01-20 22:42:22.240243 UTC","2026-01-23 17:52:17.376188 UTC"
"11e89cffa591e4886b3e3efd45d35ada6ccf485c9a34d516ebede4fa2dc9d606","11e89cffa591e4886b3e3efd45d35ada6ccf485c9a34d516ebede4fa2dc9d606","tech_companies","vertex, inc.","vertex","software—application","N/A","3.96E9","4.95E8","2026-01-20 22:37:43.301629 UTC","6f6b12f8fbb05987d1cbf4c3c1e949fe7cb7766fabb143962e5def3064cf8911","company_registry","vertex, inc.","vertex","vertexincorporated.com","information technology services","N/A","1991.0","65","149","2026-01-20 22:42:22.240243 UTC","2026-01-23 17:52:17.376188 UTC"
